,Rupee,Euro,Pound,Yen,Yuan,Rand,Rubble,Real
2022-07-27,79.84,0.98,0.83,136.87,6.76,16.83,59.83,5.32
2022-07-28,79.64,0.98,0.82,135.01,6.75,16.63,60.82,5.22
2022-07-29,79.3,0.98,0.82,133.49,6.74,16.54,62.17,5.18
2022-07-30,79.22,0.98,0.82,133.23,6.74,16.6,62.25,5.17
2022-07-31,79.22,0.98,0.82,133.24,6.74,16.6,62.25,5.17
2022-08-01,79.01,0.98,0.82,132.13,6.76,16.53,62.17,5.17
2022-08-02,78.61,0.98,0.82,131.62,6.76,16.63,60.87,5.22
2022-08-03,78.93,0.98,0.82,133.6,6.75,16.77,60.95,5.28
2022-08-04,79.23,0.98,0.83,133.55,6.75,16.7,61.02,5.25
2022-08-05,79.2,0.98,0.83,134.07,6.75,16.7,60.47,5.2
2022-08-06,79.35,0.98,0.83,135.02,6.76,16.78,60.52,5.16
2022-08-07,79.35,0.98,0.83,135.03,6.76,16.78,60.53,5.16
2022-08-08,79.5,0.98,0.83,134.99,6.76,16.68,61.02,5.14
2022-08-09,79.52,0.98,0.83,134.98,6.75,16.61,60.69,5.12
2022-08-10,79.26,0.97,0.82,133.93,6.74,16.4,60.89,5.1
2022-08-11,79.41,0.97,0.82,132.8,6.74,16.22,60.73,5.12
2022-08-12,79.57,0.97,0.82,133.45,6.74,16.23,61.24,5.12
2022-08-13,79.49,0.97,0.83,133.51,6.74,16.2,62.25,5.08
2022-08-14,79.49,0.97,0.83,133.51,6.74,16.21,62.25,5.08
2022-08-15,79.51,0.98,0.83,133.21,6.77,16.35,61.55,5.09
2022-08-16,79.31,0.98,0.83,133.97,6.79,16.42,61.34,5.12
2022-08-17,79.33,0.98,0.83,134.83,6.78,16.55,60.77,5.16
2022-08-18,79.61,0.99,0.83,135.32,6.79,16.76,60.16,5.17
2022-08-19,79.78,0.99,0.84,136.66,6.81,16.97,59.5,5.18
2022-08-20,79.86,1.00,0.85,136.91,6.82,17.01,59.5,5.17
2022-08-21,79.86,1.00,0.85,136.91,6.82,17.01,59.5,5.17
2022-08-22,79.83,1.00,0.85,137.25,6.84,17.02,59.75,5.17
2022-08-23,79.82,1.01,0.85,137.03,6.84,17.01,60.04,5.13
2022-08-24,79.77,1.00,0.85,136.85,6.86,17,59.97,5.11
2022-08-25,79.82,1.00,0.85,136.62,6.85,16.82,60.08,5.11
2022-08-26,79.84,1.00,0.85,137.05,6.86,16.82,60.33,5.1
2022-08-27,79.92,1.00,0.85,137.53,6.87,16.88,60.3,5.06
2022-08-28,79.92,1.00,0.85,137.57,6.87,16.88,60.3,5.06
2022-08-29,79.95,1.00,0.85,138.64,6.91,16.9,60.98,5.05
2022-08-30,79.63,1.00,0.85,138.56,6.91,16.89,61.05,5.06
2022-08-31,79.49,1.00,0.86,138.71,6.9,17.03,60.44,5.15
2022-09-01,79.55,1.00,0.86,139.68,6.9,17.22,60.29,5.2
2022-09-02,79.7,1.00,0.87,140.21,6.9,17.29,60.29,5.21
2022-09-03,79.7,1.00,0.87,140.22,6.9,17.29,60.27,5.17
2022-09-04,79.7,1.00,0.87,140.23,6.9,17.29,60.27,5.17
2022-09-05,79.79,1.01,0.87,140.47,6.93,17.25,60.9,5.17
2022-09-06,79.82,1.01,0.86,141.94,6.95,17.21,61.17,5.19
2022-09-07,79.79,1.01,0.87,144.08,6.97,17.34,61.3,5.25
2022-09-08,79.66,1.00,0.87,143.96,6.96,17.41,61.48,5.23
2022-09-09,79.58,0.99,0.86,142.68,6.93,17.33,60.85,5.19
2022-09-10,79.62,1.00,0.86,142.6,6.93,17.32,61.14,5.15
2022-09-11,79.62,0.99,0.86,142.59,6.93,17.32,61.15,5.15
2022-09-12,79.45,0.99,0.85,142.73,6.93,17.16,60.65,5.13
2022-09-13,79.34,0.99,0.86,143.34,6.93,17.24,60.68,5.14
2022-09-14,79.47,1.00,0.87,143.42,6.96,17.44,59.92,5.18
2022-09-15,79.66,1.00,0.87,143.42,6.98,17.52,59.7,5.2
2022-09-16,79.71,1.00,0.88,143.15,7,17.63,60.26,5.26
2022-09-17,79.65,1.00,0.88,142.94,6.98,17.62,60.5,5.25
2022-09-18,79.65,1.00,0.88,142.94,6.98,17.62,60.54,5.25
2022-09-19,79.65,1.00,0.88,143.29,7.01,17.7,60.53,5.23
2022-09-20,79.65,1.00,0.88,143.53,7.01,17.7,60.8,5.17
2022-09-21,79.65,1.01,0.88,143.95,7.05,17.7,61.17,5.16
2022-09-22,79.65,1.02,0.88,143.1,7.08,17.66,60.36,5.16
2022-09-23,80.2,1.02,0.90,142.8,7.11,17.81,58.63,5.18
2022-09-24,81.25,1.03,0.93,143.36,7.13,17.94,57.88,5.26
2022-09-25,81.25,1.03,0.93,143.37,7.13,17.94,57.87,5.26
2022-09-26,81.54,1.04,0.93,144.21,7.15,18.05,58.14,5.32
2022-09-27,81.57,1.04,0.93,144.58,7.17,17.98,58.69,5.38
2022-09-28,81.69,1.04,0.93,144.48,7.22,18,58.53,5.37
2022-09-29,81.65,1.03,0.92,144.52,7.16,17.98,57.78,5.39
2022-09-30,81.5,1.02,0.90,144.61,7.11,18.01,58.84,5.4
2022-10-01,81.64,1.02,0.89,144.75,7.12,18.08,60.2,5.41
2022-10-02,81.63,1.02,0.89,144.75,7.12,18.08,60.2,5.41
2022-10-03,81.65,1.02,0.89,144.78,7.12,17.96,58.43,5.3
2022-10-04,81.47,1.01,0.88,144.52,7.12,17.72,58.8,5.17
2022-10-05,81.54,1.01,0.88,144.41,7.12,17.75,59.99,5.19
2022-10-06,81.98,1.01,0.88,144.78,7.12,17.86,60.54,5.2
2022-10-07,82.46,1.02,0.90,145.11,7.12,18.05,61.51,5.22
2022-10-08,82.75,1.03,0.90,145.38,7.12,18.12,62.35,5.2
2022-10-09,82.76,1.03,0.90,145.38,7.12,18.12,62.32,5.2
2022-10-10,82.46,1.03,0.90,145.56,7.14,18.13,62.75,5.2
2022-10-11,82.31,1.03,0.90,145.71,7.17,18.13,64.07,5.22
2022-10-12,82.26,1.03,0.91,146.55,7.17,18.24,64.02,5.29
2022-10-13,82.3,1.03,0.89,147,7.18,18.3,63.83,5.28
2022-10-14,82.33,1.03,0.89,147.99,7.19,18.25,63.17,5.29
2022-10-15,82.39,1.03,0.89,148.76,7.19,18.35,62.65,5.33
2022-10-16,82.4,1.03,0.89,148.74,7.19,18.35,62.64,5.33
2022-10-17,82.27,1.02,0.88,148.77,7.2,18.15,62.17,5.3
2022-10-18,82.26,1.02,0.88,149.06,7.2,18.08,61.98,5.27
2022-10-19,82.74,1.02,0.88,149.57,7.22,18.21,61.86,5.26
2022-10-20,82.86,1.02,0.89,149.95,7.22,18.3,61.61,5.24
2022-10-21,82.73,1.02,0.89,149.57,7.24,18.27,61.54,5.2
2022-10-22,82.54,1.01,0.88,147.64,7.24,18.12,61.65,5.16
2022-10-23,82.54,1.01,0.88,147.73,7.24,18.11,61.65,5.16
2022-10-24,82.67,1.01,0.88,148.99,7.25,18.32,61.62,5.21
2022-10-25,82.63,1.01,0.88,148.48,7.3,18.34,61.66,5.31
2022-10-26,82.18,1.00,0.86,147.13,7.21,18.05,61.53,5.33
2022-10-27,82.33,1.00,0.86,146.1,7.22,17.97,61.37,5.35
2022-10-28,82.38,1.00,0.86,147.18,7.25,18.08,61.52,5.33
2022-10-29,82.29,1.00,0.86,147.48,7.25,18.13,61.52,5.3
2022-10-30,82.29,1.00,0.86,147.51,7.25,18.13,61.52,5.3
2022-10-31,82.64,1.01,0.87,148.41,7.29,18.3,61.72,5.26
2022-11-01,82.67,1.01,0.87,148,7.28,18.22,61.78,5.16
2022-11-02,82.75,1.01,0.87,147.33,7.28,18.17,61.85,5.14
2022-11-03,82.83,1.02,0.88,147.94,7.31,18.36,61.97,5.13
2022-11-04,82.42,1.02,0.88,147.43,7.25,18.14,62.11,5.09
2022-11-05,81.97,1.00,0.88,146.65,7.19,17.91,62,5.06
2022-11-06,81.97,1.00,0.88,146.67,7.19,17.92,62,5.06
2022-11-07,81.97,1.00,0.88,146.78,7.22,17.85,61.65,5.08
2022-11-08,81.63,1.00,0.87,146.17,7.25,17.75,61.27,5.16
2022-11-09,81.38,1.00,0.87,145.95,7.25,17.76,61.22,5.16
2022-11-10,81.24,0.99,0.87,144.36,7.23,17.63,61.09,5.26
2022-11-11,80.65,0.97,0.85,140.14,7.13,17.31,60.59,5.34
2022-11-12,80.52,0.96,0.85,138.84,7.11,17.24,60.77,5.32
2022-11-13,80.52,0.96,0.85,138.9,7.11,17.24,60.77,5.32
2022-11-14,80.99,0.97,0.85,139.9,7.07,17.3,60.7,5.32
2022-11-15,81.06,0.96,0.85,139.56,7.05,17.26,60.67,5.33
2022-11-16,81.35,0.96,0.84,139.57,7.08,17.29,60.69,5.35
2022-11-17,81.6,0.96,0.84,139.92,7.14,17.37,60.48,5.42
2022-11-18,81.62,0.96,0.84,140.06,7.13,17.3,60.52,5.39
2022-11-19,81.5,0.97,0.84,140.38,7.12,17.26,60.85,5.38
2022-11-20,81.5,0.97,0.84,140.37,7.12,17.26,60.85,5.38
2022-11-21,81.74,0.97,0.85,141.39,7.16,17.34,60.83,5.35
2022-11-22,81.7,0.97,0.84,141.49,7.15,17.28,60.69,5.33
2022-11-23,81.76,0.97,0.83,140.67,7.16,17.14,60.67,5.37
2022-11-24,81.68,0.96,0.83,138.6,7.15,16.99,60.44,5.34
2022-11-25,81.64,0.96,0.83,139.01,7.17,17.08,60.53,5.35
2022-11-26,81.67,0.96,0.83,139.2,7.17,17.09,60.5,5.41
2022-11-27,81.66,0.96,0.83,139.21,7.17,17.09,60.5,5.41
2022-11-28,81.68,0.96,0.83,138.53,7.2,17.14,60.96,5.39
2022-11-29,81.65,0.96,0.83,138.49,7.17,17.03,60.97,5.33
2022-11-30,81.43,0.96,0.83,138.68,7.11,17.01,60.97,5.25
2022-12-01,81.19,0.95,0.82,136.1,7.06,17.42,61.06,5.19
2022-12-02,81.31,0.95,0.81,134.74,7.03,17.5,61.97,5.2
2022-12-03,81.41,0.95,0.81,134.33,7.02,17.53,62.5,5.22
2022-12-04,81.41,0.95,0.81,134.34,7.02,17.52,62.47,5.22
2022-12-05,81.69,0.95,0.81,135.53,6.96,17.34,62.16,5.24
2022-12-06,82.32,0.95,0.82,136.75,6.99,17.36,62.57,5.26
2022-12-07,82.38,0.95,0.82,136.97,6.98,17.25,62.57,5.23
2022-12-08,82.33,0.95,0.82,136.74,6.97,17.17,62.8,5.21
2022-12-09,82.33,0.94,0.81,136.28,6.96,17.25,62.6,5.23
2022-12-10,82.45,0.95,0.81,136.56,6.96,17.35,63.02,5.24
2022-12-11,82.45,0.95,0.81,136.57,6.96,17.35,63.02,5.24
2022-12-12,82.55,0.95,0.81,137.15,6.97,17.48,63.01,5.27
2022-12-13,82.61,0.94,0.81,136.63,6.97,17.47,63.06,5.31
2022-12-14,82.52,0.94,0.81,135.25,6.95,17.2,63.89,5.3
2022-12-15,82.73,0.94,0.81,136.68,6.97,17.35,64.54,5.3
2022-12-16,82.79,0.94,0.82,136.99,6.97,17.59,64.81,5.3
2022-12-17,82.97,0.94,0.83,136.74,6.97,17.62,64.88,5.31
2022-12-18,82.96,0.94,0.83,136.7,6.97,17.62,64.88,5.31
2022-12-19,82.65,0.94,0.82,136.44,6.98,17.43,67.03,5.31
2022-12-20,82.69,0.94,0.82,132.88,6.97,17.34,69.59,5.26
2022-12-21,82.81,0.94,0.83,132.08,6.98,17.27,71.41,5.2
2022-12-22,82.84,0.94,0.83,132.14,6.98,17.15,70.52,5.19
2022-12-23,82.83,0.94,0.83,132.73,6.99,17.07,69.15,5.16
2022-12-24,82.8,0.94,0.83,132.83,6.99,17,69.12,5.17
2022-12-25,82.79,0.94,0.83,132.83,6.99,17,69.13,5.17
2022-12-26,82.75,0.94,0.83,132.83,6.97,17,68.81,5.18
2022-12-27,82.8,0.94,0.83,133.2,6.96,17.15,69.7,5.25
2022-12-28,82.82,0.94,0.83,134.04,6.97,17.18,71.59,5.28
2022-12-29,82.83,0.94,0.83,133.45,6.97,17.02,72.87,5.26
2022-12-30,82.74,0.93,0.83,131.88,6.92,16.98,73.17,5.29
2022-12-31,82.75,0.93,0.83,131.1,6.9,17.02,73.75,5.29
2023-01-01,82.75,0.93,0.83,131.09,6.9,17.02,73.75,5.29
2023-01-02,82.7,0.93,0.83,130.84,6.9,16.99,73.69,5.32
2023-01-03,82.81,0.94,0.83,130.51,6.9,17.01,72.3,5.4
2023-01-04,82.78,0.94,0.83,131.31,6.89,16.89,72.12,5.46
2023-01-05,82.64,0.94,0.83,132.84,6.88,17.06,72.12,5.4
2023-01-06,82.53,0.94,0.83,133.35,6.85,17.18,72.27,5.31
2023-01-07,82.35,0.94,0.83,132.09,6.84,17.11,72.5,5.23
2023-01-08,82.35,0.94,0.83,132.09,6.84,17.11,72.5,5.23
2023-01-09,82.26,0.93,0.82,131.9,6.78,17.01,70.63,5.25
2023-01-10,81.88,0.93,0.82,132.04,6.78,17.01,69.68,5.24
2023-01-11,81.66,0.93,0.83,132.44,6.77,16.98,69.29,5.19
2023-01-12,81.43,0.93,0.82,130.61,6.75,16.85,68.27,5.14
2023-01-13,81.33,0.93,0.82,128.39,6.72,16.8,68.25,5.11
2023-01-14,81.3,0.93,0.82,127.86,6.7,16.83,69,5.1
2023-01-15,81.3,0.93,0.82,127.86,6.7,16.83,68.87,5.1
2023-01-16,81.54,0.93,0.82,128.22,6.72,16.96,68.21,5.11
2023-01-17,81.68,0.93,0.82,128.54,6.77,17.07,68.72,5.13
2023-01-18,81.46,0.93,0.81,129.29,6.76,17.05,68.87,5.12
2023-01-19,81.33,0.93,0.81,128.37,6.78,17.22,68.99,5.19
2023-01-20,81.12,0.93,0.81,129.44,6.78,17.2,68.78,5.19
2023-01-21,80.98,0.92,0.81,129.57,6.78,17.11,68.69,5.21
