Date,RailCargo,ElectricityDemand,PetroConsumption,NonFoodCredit
31-10-03,44860,46566,8948,7262830
30-11-03,46980,46235,9276,7327500
31-12-03,48880,48610,9633,7470050
31-01-04,48870,49568,9347,7674870
29-02-04,47680,46663,9081,7845510
31-03-04,53690,52130,9909,8290800
30-04-04,45540,48920,9373,8219050
31-05-04,48790,48340,9669,8204840
30-06-04,46970,46099,9193,8358090
31-07-04,49660,50314,9328,8474520
31-08-04,46190,47523,8101,8683580
30-09-04,47690,49344,8841,8950630
31-10-04,50350,47902,9456,9510460
30-11-04,49370,48504,8711,9647180
31-12-04,53690,52093,9939,10012900
31-01-05,53370,52305,9659,10060860
28-02-05,50210,46833,9185,10259800
31-03-05,59520,53192,10179,10504550
30-04-05,52320,51588,8974,10862170
31-05-05,55260,54046,9594,10953460
30-06-05,52400,52191,9379,11164010
31-07-05,51370,49619,8885,11463840
31-08-05,51560,52364,9461,11617180
30-09-05,50340,48909,8705,12366900
31-10-05,53430,52295,9240,12475190
30-11-05,55030,50072,9503,12647860
31-12-05,59140,54087,10107,13160000
31-01-06,61720,56414,9743,13332350
28-02-06,57770,53093,9400,13663820
31-03-06,66190,56221,10223,14663870
30-04-06,58090,56962,9785,14485200
31-05-06,59580,56979,10949,14543710
30-06-06,58170,54910,9808,15135270
31-07-06,57370,55642,9354,15202670
31-08-06,55340,55429,9119,15422190
30-09-06,55760,54807,9306,16280330
31-10-06,58760,58084,9720,16174560
30-11-06,61060,56374,10051,16497990
31-12-06,63560,59898,10530,17278540
31-01-07,65740,62341,11105,17386540
28-02-07,61670,54692,9920,17749450
31-03-07,72430,61564,11102,18846680
30-04-07,61050,61398,10572,18379500
31-05-07,63940,62024,11278,18388560
30-06-07,60530,57994,10468,18721490
31-07-07,61880,58754,9929,18734550
31-08-07,61950,60605,9608,19238200
30-09-07,60910,57063,9786,20004710
31-10-07,66170,63176,10894,19908420
30-11-07,65770,60255,10771,20580410
31-12-07,70060,63706,11121,21082740
31-01-08,72440,65914,11444,21460810
29-02-08,70630,62294,11343,22104490
31-03-08,78480,66160,11732,23175150
30-04-08,67780,63555,11470,22841100
31-05-08,69950,64883,11642,23232000
30-06-08,65270,61611,10542,23633880
31-07-08,67730,67211,10568,23554560
31-08-08,65270,64384,10106,24164110
30-09-08,65890,60291,10615,25058510
31-10-08,66080,67161,10595,25971870
30-11-08,66620,62953,10921,25921490
31-12-08,72140,64458,11628,25941180
31-01-09,74550,66122,11506,25922590
28-02-09,70020,61978,11292,26194980
31-03-09,81710,69595,12374,27293380
30-04-09,69900,67992,11693,26955140
31-05-09,71730,68471,11642,26871980
30-06-09,71600,69508,11801,27211600
31-07-09,71770,68361,11197,27563330
31-08-09,73320,73274,10820,27576300
30-09-09,69830,68995,10860,28322520
31-10-09,73460,69714,11538,28472870
30-11-09,72780,62944,11388,28667860
31-12-09,78230,68650,11950,29266930
31-01-10,78330,70306,11568,29873090
28-02-10,72540,65594,11395,30448590
31-03-10,84490,76787,12327,31962990
30-04-10,72170,75259,12120,31803220
31-05-10,74240,74363,12317,31964690
30-06-10,71940,70972,11880,33004830
31-07-10,74160,70620,11400,33285720
31-08-10,74230,70378,10859,33066920
30-09-10,71470,67756,10638,33749960
31-10-10,78680,73277,11704,34759820
30-11-10,76550,64193,11526,35092550
31-12-10,79880,71249,12742,36994240
31-01-11,82550,75489,12063,36764950
28-02-11,76800,69059,11674,37477240
31-03-11,88840,78976,12828,38778000
30-04-11,77520,74843,12641,38708150
31-05-11,"79,710","78,346","12,885","38,867,560"
30-06-11,"76,430","74,054","12,130","39,364,700"
31-07-11,"79,660","77,782","11,762","39,409,160"
31-08-11,"75,790","75,904","11,167","39,740,490"
30-09-11,"70,170","74,716","11,219","41,539,860"
31-10-11,"77,680","80,661","12,039","40,847,700"
30-11-11,"81,130","76,807","12,986","41,275,850"
31-12-11,"86,810","81,626","13,018","42,823,309"
31-01-12,"87,030","80,232","12,168","42,696,425"
29-02-12,"83,760","78,064","12,478","43,258,831"
31-03-12,"93,850","83,878","13,597","45,305,489"
30-04-12,"80,250","78,542","12,846","45,217,186"
31-05-12,"84,130","84,242","13,835"," 45,547,738 "
30-06-12,"80,430","85,004","13,219"," 46,555,174 "
31-07-12,"82,210","87,828","12,981"," 46,067,104 "
31-08-12,"78,400","82,815","12,515"," 46,636,091 "
30-09-12,"75,930","81,296","11,865"," 47,923,857 "
31-10-12,"83,920","84,094","12,972"," 47,197,105 "
30-11-12,"81,750","78,270","13,299"," 48,510,033 "
31-12-12,"88,220","84,593","13,493"," 49,183,141 "
31-01-13,"92,600","84,670","13,421"," 49,452,086 "
28-02-13,"83,610","76,667","12,531"," 50,203,406 "
31-03-13,"98,370","88,256","14,081"," 51,640,376 "
30-04-13,"83,680","85,204","13,188"," 51,787,737 "
31-05-13,"88,160","91,414","14,238"," 52,507,363 "
30-06-13,"84,950","82,478","13,014"," 52,922,052 "
31-07-13,"86,210","86,766","12,861"," 52,944,757 "
31-08-13,"83,140","83,294","12,447"," 54,332,675 "
30-09-13,"84,860","83,645","11,942"," 55,206,967 "
31-10-13,"82,270","80,142","13,221"," 53,967,306 "
30-11-13,"84,310","78,246","13,253"," 55,422,895 "
31-12-13,"92,160","83,103","13,592"," 56,295,044 "
31-01-14,"96,400","83,657","13,523"," 57,327,398 "
28-02-14,"86,930","78,181","12,838"," 57,214,466 "
31-03-14,"100,510","85,170","14,291"," 58,956,488 "
30-04-14,"88,800","88,855","13,486"," 59,146,802 "
31-05-14,"91,720","91,406","14,740"," 59,249,465 "
30-06-14,"87,140","93,940","13,980"," 59,805,343 "
31-07-14,"89,880","94,637","13,292"," 59,717,883 "
31-08-14,"88,160","94,652","12,904"," 60,030,334 "
30-09-14,"86,720","89,235","12,771"," 60,563,004 "
31-10-14,"89,220","91,433","12,956"," 61,352,167 "
30-11-14,"91,450","85,488","13,902"," 61,478,341 "
31-12-14,"95,470","87,202","14,628"," 62,102,018 "
31-01-15,"97,790","87,163","13,939"," 62,837,542 "
28-02-15,"89,640","79,502","14,246"," 63,624,651 "
31-03-15,"101,570","85,410","14,678"," 64,420,025 "
30-04-15,"89,790","85,754","14,715"," 64,833,924 "
31-05-15,"92,870","96,234","15,528"," 64,898,056 "
30-06-15,"89,630","90,859","14,733"," 65,191,890 "
31-07-15,"91,050","96,381","14,357"," 65,846,479 "
31-08-15,"88,850","97,428","14,187"," 65,462,535 "
30-09-15,"88,750","97,740","14,714"," 66,007,580 "
31-10-15,"93,330","98,457","15,444"," 66,921,769 "
30-11-15,"87,630","85,458","14,818"," 67,302,276 "
31-12-15,"94,620","89,380","15,838"," 68,772,435 "
31-01-16,"98,090","91,476","16,238"," 69,918,239 "
29-02-16,"88,990","89,094","16,339"," 70,669,310 "
31-03-16,"100,380","96,511","17,471"," 71,443,619 "
30-04-16,"86,480","99,345","16,451"," 71,282,257 "
31-05-16,"92,340","99,903","16,940"," 71,157,805 "
30-06-16,"92,290","97,326","16,550"," 71,275,784 "
31-07-16,"89,340","94,606","15,659"," 71,528,748 "
31-08-16,"85,550","95,237","16,811"," 71,390,168 "
30-09-16,"86,350","98,072","14,782"," 74,094,064 "
31-10-16,"90,870","99,780","16,595"," 72,821,859 "
30-11-16,"92,470","93,569","16,388"," 71,699,736 "
31-12-16,"94,500","95,252","16,177"," 73,038,940 "
31-01-17,"98,420","95,690","15,334"," 72,925,930 "
28-02-17,"92,070","89,286","15,542"," 73,735,781 "
31-03-17,"108,110","102,091","17,371"," 77,875,390 "
30-04-17,"90,470","103,160","17,065"," 75,267,097 "
31-05-17,"95,960","107,295","18,204"," 75,087,574 "
30-06-17,"94,860","97,525","16,507"," 77,689,170 "
31-07-17,"94,320","98,107","15,990"," 76,154,979 "
31-08-17,"92,170","102,673","16,596"," 76,432,500 "
30-09-17,"91,430","102,496","16,354"," 79,370,695 "
31-10-17,"93,210","102,880","17,304"," 78,224,199 "
30-11-17,"95,320","95,483","17,583"," 78,603,396 "
31-12-17,"101,090","97,020","17,929"," 81,774,600 "
31-01-18,"104,680","101,864","17,232"," 80,927,597 "
28-02-18,"95,840","91,953","16,776"," 81,916,310 "
31-03-18,"112,340","105,851","18,628"," 85,834,359 "
30-04-18,"97,980","103,891","17,750"," 84,655,901 "
31-05-18,"101,850","111,071","18,623"," 84,847,454 "
30-06-18,"99,460","104,023","18,078"," 86,135,071 "
31-07-18,"98,150","102,702","17,093"," 85,653,510 "
31-08-18,"96,990","105,793","16,627"," 87,318,988 "
30-09-18,"94,820","108,328","16,066"," 89,340,010 "
31-10-18,"102,130","113,507","17,662"," 89,789,412 "
30-11-18,"100,190","99,777","16,982"," 91,420,677 "
31-12-18,"104,370","100,841","18,811"," 92,440,799 "
31-01-19,"107,550","100,849","18,520"," 92,824,099 "
28-02-19,"100,000","91,420","17,441"," 93,904,262 "
31-03-19,"119,740","107,136","19,564"," 97,301,100 "
30-04-19,"101,090","109,263","18,341"," 95,777,840 "
31-05-19,"104,910","117,047","19,217"," 96,123,160 "
30-06-19,"101,420","112,947","17,679"," 96,370,870 "
31-07-19,"99,740","108,408","17,989"," 95,994,130 "
31-08-19,"91,060","106,200","17,130"," 96,177,700 "
30-09-19,"88,550","105,195","16,189"," 97,087,690 "
31-10-19,"93,820","98,909","17,344"," 97,707,840 "
30-11-19,"101,050","93,666","18,513"," 97,995,450 "
31-12-19,"108,860","99,098","18,946"," 98,823,640 "
31-01-20,"110,190","103,011","18,746"," 100,262,770 "
29-02-20,"106,490","100,977","18,105"," 100,392,700 "
31-03-20,"103,070","96,063","15,931"," 103,190,980 "
30-04-20,"65,400","81,045","9,373"," 102,207,730 "
31-05-20,"82,580","96,501","15,392"," 101,429,080 "
30-06-20,"93,580","100,142","16,058"," 101,556,360 "
31-07-20,"95,200","108,269","15,586"," 102,027,700 "
31-08-20,"94,630","103,135","14,390"," 101,502,170 "
30-09-20,"102,300","110,212","15,130"," 102,051,540 "
31-10-20,"108,260","107,729","17,724"," 103,176,670 "
30-11-20,"110,110","95,196","19,342"," 103,803,720 "
31-12-20,"118,290","103,688","18,361"," 104,917,200 "
31-01-21,"119,790","108,505","17,642"," 106,166,420 "
28-02-21,"112,330","101,415","16,671"," 106,995,360 "
31-03-21,"130,490","118,770","18,628"," 108,882,550 "
30-04-21,"111,670","115,473","16,599"," 108,342,230 "
31-05-21,"114,900","103,833","14,758"," 107,356,790 "
30-06-21,"112,770","106,460","15,842"," 107,756,660 "
31-07-21,"112,710","115,982","16,598"," 108,330,890 "
31-08-21,"110,660","120,978","15,314"," 108,288,000 "
30-09-21,"106,000","108,241","15,889"," 108,944,750 "
31-10-21,"117,350","111,031","17,763"," 110,382,870 "
30-11-21,"116,830","96,942","17,057"," 111,139,270 "
31-12-21,"126,780","105,992","18,968"," 114,934,070 "
31-01-22,"129,010","107,886","18,050"," 113,865,870 "
28-02-22,"119,690","104,208","17,564"," 115,754,930 "
31-03-22,"139,240","123,921","19,834"," 118,363,030 "
